Image,Bottom-Left,Top-Right
img1.jpg,"(np.int32(597), np.int32(403))","(np.int32(763), np.int32(237))"
img1.jpg,"(np.int32(332), np.int32(416))","(np.int32(502), np.int32(246))"
img2.jpg,"(np.int32(246), np.int32(203))","(np.int32(384), np.int32(65))"
img2.jpg,"(np.int32(643), np.int32(416))","(np.int32(728), np.int32(331))"
img3.jpg,"(np.int32(122), np.int32(586))","(np.int32(527), np.int32(181))"
img4.jpg,"(np.int32(176), np.int32(774))","(np.int32(668), np.int32(282))"
img5.jpg,"(np.int32(194), np.int32(588))","(np.int32(737), np.int32(45))"
img6.jpg,"(np.int32(39), np.int32(214))","(np.int32(207), np.int32(46))"
img7.jpg,"(np.int32(375), np.int32(426))","(np.int32(647), np.int32(154))"
img8.jpg,"(np.int32(472), np.int32(281))","(np.int32(581), np.int32(172))"
img9.jpg,"(np.int32(428), np.int32(500))","(np.int32(745), np.int32(183))"
img9.jpg,"(np.int32(505), np.int32(617))","(np.int32(680), np.int32(442))"
img10.jpg,"(np.int32(557), np.int32(331))","(np.int32(665), np.int32(223))"
img10.jpg,"(np.int32(446), np.int32(322))","(np.int32(560), np.int32(208))"
img10.jpg,"(np.int32(414), np.int32(471))","(np.int32(546), np.int32(339))"
img11.jpg,"(np.int32(570), np.int32(280))","(np.int32(758), np.int32(92))"
